Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2016,Tunisia,0.97724,0.43165,0.59577,0.23553,5.045
2016,Greece,1.24886,0.75473,0.80029,0.05822,5.033
2016,Tajikistan,0.48835,0.75602,0.53119,0.43408,4.996
2016,Mongolia,0.98853,1.08983,0.55469,0.35972,4.907
2016,Laos,0.68042,0.5497,0.38291,0.52168,4.876
2016,Nigeria,0.75216,0.64498,0.05108,0.27854,4.875
2016,Honduras,0.69429,0.75596,0.58383,0.26755,4.871
2016,Iran,1.11758,0.38857,0.64232,0.22544,4.813
2016,Zambia,0.61202,0.6376,0.23573,0.42662,4.795
2016,Nepal,0.44626,0.69699,0.50073,0.37012,4.793
2016,Palestinian Territories,0.67024,0.71629,0.56844,0.17744,4.754
2016,Albania,0.9553,0.50163,0.73007,0.31866,4.655
2016,Bangladesh,0.54177,0.24749,0.52989,0.39778,4.643
2016,Sierra Leone,0.36485,0.628,0.0,0.30685,4.635
2016,Iraq,1.07474,0.59205,0.51076,0.24856,4.575
2016,Namibia,0.93287,0.70362,0.34745,0.48614,4.574
2016,Cameroon,0.52497,0.62542,0.12698,0.42736,4.513
2016,Ethiopia,0.29283,0.37932,0.34578,0.36703,4.508
2016,South Africa,1.02416,0.96053,0.18611,0.42483,4.459
2016,Sri Lanka,0.97318,0.84783,0.62007,0.50817,4.415
2016,India,0.74036,0.29247,0.45091,0.40285,4.404
2016,Myanmar,0.34112,0.69981,0.3988,0.42692,4.395
2016,Egypt,0.95395,0.49813,0.52116,0.18847,4.362
2016,Armenia,0.86086,0.62477,0.64083,0.14037,4.36
2016,Kenya,0.52267,0.7624,0.30147,0.40576,4.356
2016,Ukraine,0.87287,1.01413,0.58628,0.12859,4.324
2016,Ghana,0.63107,0.49353,0.29681,0.40973,4.276
2016,Congo (Kinshasa),0.05661,0.80676,0.188,0.15602,4.272
2016,Georgia,0.83792,0.19249,0.64035,0.32461,4.252
2016,Congo (Brazzaville),0.77109,0.47799,0.28212,0.37938,4.236
2016,Senegal,0.44314,0.77416,0.40457,0.31056,4.219
2016,Bulgaria,1.11306,0.92542,0.67806,0.21219,4.217
2016,Mauritania,0.61391,0.84142,0.28639,0.1268,4.201
2016,Zimbabwe,0.35041,0.71478,0.1595,0.25429,4.193
2016,Malawi,0.08709,0.147,0.29364,0.4143,4.156
2016,Sudan,0.63069,0.81928,0.29759,0.0,4.139
2016,Gabon,1.15851,0.72368,0.3494,0.28098,4.121
2016,Mali,0.31292,0.86333,0.16347,0.27544,4.073
2016,Haiti,0.34097,0.29561,0.27494,0.12072,4.028
2016,Botswana,1.09426,0.89186,0.34752,0.44089,3.974
2016,Comoros,0.27509,0.60323,0.29981,0.15412,3.956
2016,Ivory Coast,0.55507,0.57576,0.04476,0.40663,3.916
2016,Cambodia,0.55604,0.5375,0.42494,0.58852,3.907
2016,Angola,0.84731,0.66366,0.04991,0.00589,3.866
2016,Niger,0.1327,0.6053,0.26162,0.38041,3.856
2016,South Sudan,0.39394,0.18519,0.15781,0.19662,3.832
2016,Chad,0.42214,0.63178,0.03824,0.12807,3.763
2016,Burkina Faso,0.31995,0.63054,0.21297,0.3337,3.739
2016,Uganda,0.34719,0.90981,0.19625,0.43653,3.739
2016,Yemen,0.57939,0.47493,0.31048,0.2287,3.724
2016,Madagascar,0.27954,0.46115,0.37109,0.13684,3.695
2016,Tanzania,0.47155,0.77623,0.357,0.3176,3.666
2016,Liberia,0.10706,0.50353,0.23165,0.25748,3.622
2016,Guinea,0.22415,0.3109,0.18829,0.30953,3.607
2016,Rwanda,0.32846,0.61586,0.31865,0.5432,3.515
2016,Benin,0.39499,0.10419,0.21028,0.39747,3.484
2016,Afghanistan,0.38227,0.11037,0.17344,0.1643,3.36
2016,Togo,0.28123,0.0,0.24811,0.34678,3.303
2016,Syria,0.74719,0.14866,0.62994,0.06912,3.069
2016,Burundi,0.06831,0.23442,0.15747,0.0432,2.905
2017,Norway,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,7.53700017929077
2017,Denmark,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,7.52199983596802
2017,Iceland,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,7.50400018692017
2017,Switzerland,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,7.49399995803833
2017,Finland,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,7.4689998626709
2017,Netherlands,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,7.3769998550415
2017,Canada,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,7.31599998474121
2017,New Zealand,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,7.31400012969971
2017,Sweden,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,7.28399991989136
2017,Australia,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,7.28399991989136
2017,Israel,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,7.21299982070923
2017,Costa Rica,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,7.0789999961853
2017,Austria,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,7.00600004196167
2017,United States,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,6.99300003051758
2017,Ireland,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,6.97700023651123
2017,Germany,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,6.95100021362305
2017,Belgium,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,6.89099979400635
2017,Luxembourg,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,6.86299991607666
2017,United Kingdom,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,6.71400022506714
2017,Chile,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,6.65199995040894
2017,United Arab Emirates,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,6.64799976348877
2017,Brazil,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,6.63500022888184
2017,Czech Republic,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,6.60900020599365
2017,Argentina,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,6.59899997711182
2017,Mexico,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,6.57800006866455
2017,Singapore,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,6.57200002670288
2017,Malta,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,6.52699995040894
2017,Uruguay,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,6.4539999961853
2017,Guatemala,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,6.4539999961853
2017,Panama,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,6.4520001411438
2017,France,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,6.44199991226196
2017,Thailand,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,6.42399978637695
2017,Taiwan Province of China,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,6.42199993133545
2017,Spain,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,6.40299987792969
2017,Qatar,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,6.375
2017,Colombia,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,6.35699987411499
2017,Saudi Arabia,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,6.3439998626709
2017,Trinidad and Tobago,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,6.16800022125244
2017,Kuwait,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,6.10500001907349
2017,Slovakia,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,6.09800004959106
2017,Bahrain,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,6.08699989318848
2017,Malaysia,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,6.08400011062622
2017,Nicaragua,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,6.07100009918213
2017,Ecuador,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,6.00799989700317
2017,El Salvador,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,6.00299978256226
2017,Poland,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,5.97300004959106
2017,Uzbekistan,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,5.97100019454956
2017,Italy,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,5.96400022506714
2017,Russia,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,5.96299982070923
2017,Belize,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,5.95599985122681
2017,Japan,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,5.92000007629395
2017,Lithuania,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,5.90199995040894
2017,Algeria,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,5.87200021743774
2017,Latvia,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,5.84999990463257
2017,South Korea,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,5.83799982070923
